id,source,name,status,impact,started_at,resolved_at,fetched_at,source_url
atlassian:pzh5b8cvfk2g,atlassian,Atlassian incident pzh5b8cvfk2g,resolved,,2023-07-06T11:18:50.937Z,2023-07-06T15:37:19.645Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/pzh5b8cvfk2g
atlassian:fthwx4svyskf,atlassian,Atlassian incident fthwx4svyskf,resolved,,2022-08-05T06:41:46.345Z,2022-08-05T06:41:46.390Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/fthwx4svyskf
atlassian:wpphfps5ffpj,atlassian,Atlassian incident wpphfps5ffpj,resolved,,2022-06-22T03:17:06.995Z,2022-06-22T03:33:33.007Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/wpphfps5ffpj
atlassian:yz4mkc6j501q,atlassian,Atlassian incident yz4mkc6j501q,resolved,,2021-04-19T04:32:10.838Z,2021-04-30T01:34:05.130Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/yz4mkc6j501q
atlassian:r021q1l6nr1r,atlassian,Atlassian incident r021q1l6nr1r,resolved,,2021-02-12T02:28:07.614Z,2021-02-12T03:13:32.641Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/r021q1l6nr1r
atlassian:wkg98r6wc1b5,atlassian,Atlassian incident wkg98r6wc1b5,resolved,,2020-09-28T23:39:35.039Z,2020-09-29T01:03:24.701Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/wkg98r6wc1b5
atlassian:85fh4cc7749r,atlassian,Atlassian incident 85fh4cc7749r,resolved,,2020-01-22T22:19:48.388Z,2020-01-22T23:11:44.151Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/85fh4cc7749r
atlassian:kw28xr3wyxmq,atlassian,Atlassian incident kw28xr3wyxmq,resolved,,2019-10-22T22:32:42.106Z,2019-10-23T04:02:08.499Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/kw28xr3wyxmq
atlassian:skl1wrm8z4yd,atlassian,Atlassian incident skl1wrm8z4yd,resolved,,2019-09-30T17:40:32.821Z,2019-09-30T19:37:26.857Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/skl1wrm8z4yd
atlassian:dd0svkqq6dwg,atlassian,Atlassian incident dd0svkqq6dwg,resolved,,2019-09-10T10:05:23.441Z,2019-09-10T11:45:48.611Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/dd0svkqq6dwg
atlassian:gzrclxcqvdsp,atlassian,Atlassian incident gzrclxcqvdsp,resolved,,2019-07-15T15:42:29.605Z,2019-07-15T17:08:58.823Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/gzrclxcqvdsp
atlassian:w81fyrpz5qcl,atlassian,Atlassian incident w81fyrpz5qcl,resolved,,2019-07-01T09:03:21.590Z,2019-07-01T11:03:40.319Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/w81fyrpz5qcl
atlassian:sqq15l5bd34s,atlassian,Atlassian incident sqq15l5bd34s,resolved,,2019-06-19T12:00:14.359Z,2019-06-20T12:39:11.020Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/sqq15l5bd34s
atlassian:7tmh679kh794,atlassian,Atlassian incident 7tmh679kh794,resolved,,2019-05-21T09:53:42.325Z,2019-05-21T09:53:42.382Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/7tmh679kh794
atlassian:3p4zfxggg0vv,atlassian,Atlassian incident 3p4zfxggg0vv,resolved,,2019-05-14T08:57:38.605Z,2019-05-14T11:04:20.413Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/3p4zfxggg0vv
atlassian:dgsyrnqfr2r0,atlassian,Atlassian incident dgsyrnqfr2r0,resolved,,2019-05-10T14:10:29.123Z,2019-05-10T14:37:03.785Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/dgsyrnqfr2r0
atlassian:mx1wvlvbw23y,atlassian,Atlassian incident mx1wvlvbw23y,resolved,,2019-05-07T09:45:37.229Z,2019-05-07T09:45:37.229Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/mx1wvlvbw23y
